Quarantana	Longman 1845	Penman 1972	Moore 2022
in grazia vostra	on your account	on your account	on your account
mi son fermata di più	I stayed there	I stayed there a bit later	I stayed longer than I expected
di dove	where from	be coming from	where from
Buona sera	Good evening	Good evening	Good evening
salutò per nome	saluted by her name	called by name	greeted by name
venne avanti	appeared	so did	so did
nello stesso tempo	at the same moment		at the same moment
si fece vedere		came forward	appeared
aprì l' uscio	opened the door	opened the door	opened the door
siete poi ben sicura	are you quite sure	Are you quite sure	Are you quite sure
lo potrò pigliare	I shall be able to catch him	will I ever have another	I will
chi sa	who knows		who knows
se non lo piglio ora	If I don't catch him now	If I don' t take this opportunity	If I don' t catch him now
se non lo piglia al volo	if you don' t catch him soaring	if you don' t take the opportunity	if you don' t catch him now
Non hanno discrezione	have no discretion	have no sense	They' ve got no manners
In quel momento	At this moment	At that very moment	That was when
non c' è bisogno	it is not necessary	is needed	it didn' t take
ha fatto dir tanto di sé	made himself so much talked about	got himself so much talked about	was so well known
ne ha fatte di così curiose	did such wonderful things	did so many strange things	had done such odd things
non trovava inciampo	had found no difficulty	gave no trouble	could handle
un panegirico in onore di san Carlo	a panegyric in honour of San Carlo	a panegyric on San Carlo Borromeo	a panegyric in honor of Saint Carlo Borromeo
in quel momento	in this moment		in that moment
il primo che gli veniva alle mani	the first which came to hand	the first volume that came to hand	wherever his hand happened to fall
era lontano da preveder	so far was from foreseeing	was the distance	how oblivious
pover' uomo	poor man	poor fellow	poor man
un letteratone del tempo antico	a wise man of ancient times	one of the great scholars of antiquity	some ancient know-it-all
un uomo di studio	a learned man	a learned man	a great scholar
portargli l' imbasciata	to lay before him this embassy	with her message	deliver the message
una stanza del piano superiore	an upper room	an upstairs room	an upstairs room
ruminava tra sé	said to himself	was murmuring to himself	was muttering to himself
Carneade ! Chi era costui ?	Carneades who was this man	Carneades who was he now	Carneades ! Now , who in the world was he ?
Cos' è tutto questo fracasso	What is all this noise	What' s all this disturbance for	What' s all this ruckus
Guardano in su	they look up	They looked up	They looked up
stanno in orecchi	they listen	listened	keeping their ears pricked
guardano in su	they look up	They look up	
in folla	in a crowd	thronged	swarmed
